date,refactoring,qt
2012-11,EM,608
2012-11,IPO,606
2012-11,PWO,606
2012-11,RMWMO,614
2012-11,RTWQ,606
2012-11,EH,74
2012-11,EI,74
2012-11,ESupC,74
2012-11,MF,74
2012-11,MM,82
2012-11,PF,74
2012-11,PM,74
2012-11,RCWP,82
2012-11,RDWO,74
2012-11,EC,2
2012-12,CCE,292
2012-12,DC,292
2012-12,EM,296
2012-12,IPO,292
2012-12,PWO,292
2012-12,RMWMO,302
2012-12,RTWQ,292
2012-12,EH,46
2012-12,EI,46
2012-12,ESupC,46
2012-12,MF,46
2012-12,MM,58
2012-12,PF,46
2012-12,PM,46
2012-12,RCWP,56
2012-12,RDWO,46
2012-12,EC,2
2012-12,ECo,2
2012-12,EF,2
2012-12,HM,2
2013-01,ECo,5
2013-01,EF,5
2013-01,EM,515
2013-01,HM,5
2013-01,MM,86
2013-01,CCE,508
2013-01,DC,508
2013-01,IPO,508
2013-01,PWO,508
2013-01,RMWMO,520
2013-01,RTWQ,508
2013-01,EH,69
2013-01,EI,69
2013-01,ESupC,69
2013-01,MF,69
2013-01,PF,69
2013-01,PM,69
2013-01,RCWP,81
2013-01,RDWO,69
2013-01,EC,2
2013-02,CCE,298
2013-02,DC,298
2013-02,EM,298
2013-02,IPO,298
2013-02,PWO,298
2013-02,RMWMO,304
2013-02,RTWQ,298
2013-02,EH,33
2013-02,EI,33
2013-02,ESupC,33
2013-02,MF,33
2013-02,MM,39
2013-02,PF,33
2013-02,PM,33
2013-02,RCWP,39
2013-02,RDWO,33
2013-03,CCE,630
2013-03,DC,630
2013-03,EM,635
2013-03,IPO,630
2013-03,PWO,630
2013-03,RMWMO,634
2013-03,RTWQ,630
2013-03,ECo,4
2013-03,EF,4
2013-03,HM,4
2013-03,MM,72
2013-03,EH,64
2013-03,EI,64
2013-03,ESupC,64
2013-03,MF,64
2013-03,PF,64
2013-03,PM,64
2013-03,RCWP,68
2013-03,RDWO,64
2013-03,EC,1
2013-04,MM,46
2013-04,RCWP,46
2013-04,RMWMO,100
2013-04,CCE,94
2013-04,DC,94
2013-04,EM,94
2013-04,IPO,94
2013-04,PWO,94
2013-04,RTWQ,94
2013-04,EH,40
2013-04,EI,40
2013-04,ESupC,40
2013-04,MF,40
2013-04,PF,40
2013-04,PM,40
2013-04,RDWO,40
2013-05,CCE,416
2013-05,DC,416
2013-05,EM,417
2013-05,IPO,416
2013-05,PWO,416
2013-05,RMWMO,418
2013-05,RTWQ,416
2013-05,EH,132
2013-05,EI,132
2013-05,ESupC,132
2013-05,MF,132
2013-05,MM,135
2013-05,PF,132
2013-05,PM,132
2013-05,RCWP,134
2013-05,RDWO,132
2013-05,ECo,1
2013-05,EF,1
2013-05,HM,1
2013-06,CCE,244
2013-06,DC,244
2013-06,EM,248
2013-06,IPO,244
2013-06,PWO,244
2013-06,RMWMO,246
2013-06,RTWQ,244
2013-06,EH,62
2013-06,EI,62
